wave_id,ordine,titolo,categoria,prodotto_target,ambito,input_s_SPLIT_1,criterio_selezione,operazione_prevista,dipendenze,verifica,rollback,gate_umano,stato_iniziale,condizione_completamento,note
S2-PI-DOCS-01,10,Documentazione PonteImprese,PONTE_IMPRESE,apps/ponteimprese o docs di dominio,Docs di prodotto Ponte,split-1-file-inventory.csv,categoria=PONTE_IMPRESE AND path LIKE 'docs/%',Copia non distruttiva in apps/ponteimprese/docs. Eseguito: 77 copiati; 0 git mv root; legal runtime su path app,S2-PI-SRC-01,Conteggio filtro=77; copiati=77; PI_RUNTIME_LEGAL_ROOT_DEPENDENCY=0,Ripristinare solo copie in apps/ponteimprese/docs,S2-GATE-PI-LEGAL-DOCS chiuso,eseguita,77 documenti Ponte in apps/ponteimprese/docs; originali root conservati,Onda eseguita in S2-PI-FINAL-01. Set=77. Legal privacy/cookie/termini/dati-fonti letti da apps/ponteimprese/docs/architecture/legal. Contenuto giuridico invariato.
S2-PI-TEST-01,11,Test script e asset pubblici PonteImprese,PONTE_IMPRESE,apps/ponteimprese,e2e scripts public,split-1-file-inventory.csv,"categoria=PONTE_IMPRESE AND (path LIKE 'e2e/%' OR path LIKE 'scripts/%' OR path LIKE 'public/%')",Copia non distruttiva in apps/ponteimprese. E2E/script DB-rete non eseguiti,S2-PI-APP-01,Conteggio filtro=28 (11+12+5); copiati=28; e2e NOT_RUN_EXTERNAL_DEPENDENCY,Ripristinare solo copie in apps/ponteimprese,Nessuno oltre checklist SEO asset,eseguita,28 file test/script/public Ponte nell app; originali root conservati,Onda eseguita in S2-PI-FINAL-01. 11 e2e + 12 scripts + 5 public. E2E e smoke/script che richiedono server/DB/rete classificati NOT_RUN_EXTERNAL_DEPENDENCY. Test unitari src/**/*.test.ts eseguiti. S2-EXTRACT-01: copia apps/ponteimprese/scripts/external-data/d1-d8a-events-dry-run.ts rimossa; PI_EVENT_SCRIPT_STANDALONE=EXCLUDED_LEGACY_CROSS_PRODUCT; PI_EXTERNAL_SCRIPT_FILE_DEPENDENCIES=0. Originale root intatto.
S2-PI-MIG-01,12,Migration e config Supabase Ponte,PONTE_IMPRESE,Catena supabase storica,SQL e config.toml Ponte,split-1-file-inventory.csv,"categoria=PONTE_IMPRESE AND (tipo_file=migration_sql OR path LIKE 'supabase/%')",Copia non distruttiva in apps/ponteimprese/supabase; SQL invariato; non eseguire. Eseguito: 126 copiati,S2-SCAFFOLD-01,Conteggio filtro=126; copiati=126; sqlChanged=0,Ripristinare solo copie in apps/ponteimprese/supabase,SPLIT-3,eseguita_documentale,PI_MIGRATION_OWNERSHIP=COPIED; PI_DATABASE_BOOTSTRAP=SPLIT_3_PENDING,Onda eseguita in S2-PI-FINAL-01. 125 migration_sql + config.toml copiati con hash identico. Manifesto in apps/ponteimprese/supabase/PI-MIGRATION-MANIFEST.md. Nessuna esecuzione DB. Catena non autonoma senza CONDIVISO.
S2-CS-APP-01,13,Route e UI App Router Centro Studi,CENTRO_STUDI,apps/centro-studi,Pagine pubbliche e redazione CS,split-1-file-inventory.csv,categoria=CENTRO_STUDI AND path LIKE 'src/app/%',Copia non distruttiva verso apps/centro-studi (root preservata). Eseguito: 24 copiati; 0 git mv root. Loading eventi CS-locale,S2-COND-TOOL-01,Conteggio filtro=24; copiati=24; typecheck CS=0; CS_TO_PI_IMPORTS=0,Ripristinare solo copie in apps/centro-studi,S2-GATE-EVENTI-LOADING chiuso lato CS; S2-GATE-BRAND aperto,eseguita_con_gate,24 file src/app CS in apps/centro-studi; originali root conservati; page eventi pubbliche incluse,Onda eseguita in S2-CS-CORE-01. Set=24. Include eventi/page.tsx eventi/[id]/page.tsx e redazione/eventi/**. Non include eventi/loading.tsx inventario PI: creata variante CS locale. PonteImprese non modificato.
S2-CS-SRC-01,14,Moduli applicativi Centro Studi,CENTRO_STUDI,apps/centro-studi,lib editoriale Osservatorio pipeline CS,split-1-file-inventory.csv,"categoria=CENTRO_STUDI AND path LIKE 'src/%' AND path NOT LIKE 'src/app/%'",Copia non distruttiva verso apps/centro-studi. Eseguito: 38 copiati; 0 git mv root,S2-CS-APP-01,Conteggio filtro=38; copiati=38; import apps/ponteimprese=0,Ripristinare solo copie in apps/centro-studi,S2-GATE-CONTENUTI-GUIDE S2-GATE-RUOLI-CS S2-GATE-ORG,eseguita_con_gate,38 file src non-app CS in apps/centro-studi; originali root conservati; kernel editoriale CS posseduto anche da PI come supporto transitorio,Onda eseguita in S2-CS-CORE-01. Set=38. Pipeline contenuti/Eurostat/World Bank copiate. Motore Eventi CONDIVISO non copiato (S2-GATE-EVENTI). Supporti CONDIVISO e dipendenze miste eventi/session/labels documentati. Legal markdown rinviato a CS-DOCS. S2-EXTRACT-01: CONTENUTI_GUIDE_APP_OWNERSHIP=CENTRO_STUDI; /notizie-e-guide redirect /contenuti; S2-GATE-CONTENUTI-GUIDE=RESOLVED_FOR_PRODUCT_WORKSPACES. Nessuna modifica DB.
S2-CS-DOCS-01,15,Documentazione Centro Studi,CENTRO_STUDI,apps/centro-studi o docs di dominio,Docs CS e Osservatorio,split-1-file-inventory.csv,categoria=CENTRO_STUDI AND path LIKE 'docs/%',Copia non distruttiva in apps/centro-studi/docs. Eseguito: 23 copiati; 0 git mv root,S2-CS-SRC-01,Conteggio filtro=23; copiati=23; CS_RUNTIME_ROOT_DOCUMENT_DEPENDENCIES=0,Ripristinare solo copie in apps/centro-studi/docs,S2-GATE-LEGAL-CS aperto (legal non in inventario CS),eseguita,23 documenti CS in apps/centro-studi/docs; originali root conservati,Onda eseguita in S2-CS-FINAL-01. Set=23. Nessun markdown legal CS in inventario; informativa dati/fonti resta PONTE_IMPRESE. Route /dati-e-fonti usa placeholder locale. Nessuna cancellazione.
S2-CS-TEST-01,16,Test e script Centro Studi,CENTRO_STUDI,apps/centro-studi,e2e e scripts CS,split-1-file-inventory.csv,"categoria=CENTRO_STUDI AND (path LIKE 'e2e/%' OR path LIKE 'scripts/%')",Copia non distruttiva in apps/centro-studi. E2E/script DB-rete non eseguiti,S2-CS-APP-01,Conteggio filtro=9 (2+7); copiati=9; e2e NOT_RUN_EXTERNAL_DEPENDENCY,Ripristinare solo copie in apps/centro-studi,Credenziali pipeline non nei test,eseguita,9 file test/script CS nell app; originali root conservati,Onda eseguita in S2-CS-FINAL-01. 2 e2e + 7 scripts. Helper e2e PI copiati come supporto transitorio. Guard ingest ARCHIVIO copiato in app. E2E e ingest DB-rete NOT_RUN_EXTERNAL_DEPENDENCY.
S2-CS-MIG-01,17,Migration Centro Studi immutabili,CENTRO_STUDI,Catena supabase storica,SQL CS e Osservatorio,split-1-file-inventory.csv,"categoria=CENTRO_STUDI AND (tipo_file=migration_sql OR path LIKE 'supabase/%')",Copia non distruttiva in apps/centro-studi/supabase; SQL invariato; non eseguire. Eseguito: 21 copiati,S2-SCAFFOLD-01,Conteggio filtro=21; copiati=21; sqlChanged=0,Ripristinare solo copie in apps/centro-studi/supabase,SPLIT-3 S2-GATE-DATI-ACQUISITI,eseguita_documentale,CS_MIGRATION_OWNERSHIP=COPIED; CS_DATABASE_BOOTSTRAP=SPLIT_3_PENDING,Onda eseguita in S2-CS-FINAL-01. 21 migration_sql copiati con hash identico. Manifesto in apps/centro-studi/supabase/CS-MIGRATION-MANIFEST.md. Nessuna esecuzione DB. Catena non autonoma senza CONDIVISO.
S2-ARCH-01,18,Conservazione ARCHIVIO,ARCHIVIO,docs/archive senza cancellazione,Evidenze e artefatti storici,split-1-file-inventory.csv,categoria=ARCHIVIO,Conservati in root; 85/85 classificati; guard ingest copiata in PI e CS; zero delete,S2-SCAFFOLD-01,Conteggio filtro=85; ARCH_MISSING=0; PI/CS archive runtime deps=0,Ripristinare se si fosse mossa solo la copia,GO umano obbligatorio prima di qualsiasi cancellazione futura,eseguita,85 file ARCHIVIO ancora presenti in Git; copie tecniche solo dove servono agli script,Onda eseguita in S2-CLEANUP-ARCH-01. 37 artifacts + 48 docs. Nessuna eliminazione. production-write-guard copiato in entrambe le app. Originali root preservati. S2-EXTRACT-01: package localizzati in apps/*/packages; PONTEIMPRESE_REPO_READY=YES; CENTRO_STUDI_REPO_READY=YES; root packages preservati.
S2-CUTOVER-01,19,Deploy separati e cut-over domini,TUTTE,Due progetti di deploy,Build test preview DNS,split-1-product-allocation.md paragrafo 21 e piano esecutivo W3,Nessun filtro file 713: opera dopo aggregato W2 completa (onde ordine 1-18),Build e preview per app; cut-over ponteimprese.com e dominio attuale; no SPLIT-3 DB; retention cancellazione anonimizzazione solo SPLIT-3,S2-COND-UI-01;S2-COND-UTIL-01;S2-COND-TOOL-01;S2-COND-COMP-01;S2-COND-LIB-01;S2-COND-DOCS-01;S2-COND-MIG-01;S2-PI-APP-01;S2-PI-SRC-01;S2-PI-DOCS-01;S2-PI-TEST-01;S2-PI-MIG-01;S2-CS-APP-01;S2-CS-SRC-01;S2-CS-DOCS-01;S2-CS-TEST-01;S2-CS-MIG-01;S2-ARCH-01,Due deploy autonomi; SEO distinta; rollback per dominio; W2 completa chiusa (un'onda W2 con gate aperti non soddisfa il completamento finale),Ripuntare ciascun dominio alla release precedente,S2-GATE-CUTOVER S2-GATE-LEGAL-CS S2-GATE-ANALYTICS,non_iniziata,Due deploy verificati e repository corrente ancora autoritativo,Equivale a W3 subordinato a W2 completa (18 onde inventario/trasferimento). Non dipende solo da PI-APP CS-APP ARCH. Una dipendenza W2 con gate SPLIT_3/CUTOVER aperti non soddisfa il cut-over DNS; dopo S2-EXTRACT-01 i gate workspace (LINGUE-MERCATI ORG-LOADING SUPABASE-CLIENT CONTENUTI-GUIDE SAFE-REDIRECT APP-ERROR ENV-EXAMPLE HOME-LAYOUT APP-COMPONENTS PUBLIC-LEGAL-COMP) sono RESOLVED_FOR_PRODUCT_WORKSPACES. Retention cancellazione self-service anonimizzazione/minimizzazione e conservazione legale: SPLIT-3. Nessuna modifica DNS in SPLIT-2A-RECOVERY.
