tipo_oggetto,nome_oggetto,file_origine,simbolo_o_migration,categoria,prodotto_target,azione_futura,modalità_condivisione,decisione,dati_o_finalità,dipendenze,motivazione,note
script_cli,ingest-eurostat-lfsa-esgan.ts,scripts/external-data/ingest-eurostat-lfsa-esgan.ts,ingest-eurostat-lfsa-esgan.ts,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Finalità statistica o documentale,Entry point
script_cli,ingest-incentivi-gov-opendata.ts,scripts/external-data/ingest-incentivi-gov-opendata.ts,ingest-incentivi-gov-opendata.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni","Funzione operativa, identitaria o commerciale",Entry point
script_cli,ingest-worldbank-indicators.ts,scripts/external-data/ingest-worldbank-indicators.ts,ingest-worldbank-indicators.ts,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Finalità statistica o documentale,Entry point
script_cli,prod-ingest-contenuti.mjs,scripts/external-data/prod-ingest-contenuti.mjs,prod-ingest-contenuti.mjs,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Oggetto editoriale con possibili riferimenti commerciali,Entry point
script_cli,m1-terms-runtime-check.mjs,scripts/m1-terms-runtime-check.mjs,m1-terms-runtime-check.mjs,PONTE_IMPRESE,PonteImprese,MIGRARE_E_RIVALUTARE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Responsabilità legale legata ai dati operativi attuali,Entry point
script_cli,m2-legal-retention-runtime-check.mjs,scripts/m2-legal-retention-runtime-check.mjs,m2-legal-retention-runtime-check.mjs,PONTE_IMPRESE,PonteImprese,MIGRARE_E_RIVALUTARE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Responsabilità legale legata ai dati operativi attuali,Entry point
script_cli,m3-m4-cumulative-runtime-check.mjs,scripts/m3-m4-cumulative-runtime-check.mjs,m3-m4-cumulative-runtime-check.mjs,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni","Funzione operativa, identitaria o commerciale",Entry point
script_cli,m3-self-delete-runtime-check.sql,scripts/m3-self-delete-runtime-check.sql,m3-self-delete-runtime-check.sql,PONTE_IMPRESE,PonteImprese,MIGRARE_E_RIVALUTARE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Responsabilità legale legata ai dati operativi attuali,Entry point
script_cli,m4-management-reassignment-runtime-check.mjs,scripts/m4-management-reassignment-runtime-check.mjs,m4-management-reassignment-runtime-check.mjs,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni","Funzione operativa, identitaria o commerciale",Entry point
script_cli,m4-management-reassignment-runtime-check.sql,scripts/m4-management-reassignment-runtime-check.sql,m4-management-reassignment-runtime-check.sql,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni","Funzione operativa, identitaria o commerciale",Entry point
script_cli,p3-local-smoke.mjs,scripts/p3-local-smoke.mjs,p3-local-smoke.mjs,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni","Funzione operativa, identitaria o commerciale",Entry point
script_cli,p4-local-smoke.mjs,scripts/p4-local-smoke.mjs,p4-local-smoke.mjs,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni","Funzione operativa, identitaria o commerciale",Entry point
script_cli,p5-local-smoke.mjs,scripts/p5-local-smoke.mjs,p5-local-smoke.mjs,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni","Funzione operativa, identitaria o commerciale",Entry point
pagina_next,/accedi,src/app/accedi/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/amministrazione/account/[id],src/app/app/amministrazione/account/[id]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/amministrazione/account,src/app/app/amministrazione/account/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/amministrazione/imprese,src/app/app/amministrazione/imprese/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
layout_next,src/app/app/amministrazione/layout.tsx,src/app/app/amministrazione/layout.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,composizione UI,"Next.js,React","Funzione operativa, identitaria o commerciale",Layout del relativo albero route
pagina_next,/app/amministrazione,src/app/app/amministrazione/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/amministrazione/riassegnazioni,src/app/app/amministrazione/riassegnazioni/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/amministrazione/ruoli,src/app/app/amministrazione/ruoli/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/forbidden,src/app/app/forbidden/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/imprese/[id],src/app/app/imprese/[id]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/imprese,src/app/app/imprese/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
layout_next,src/app/app/layout.tsx,src/app/app/layout.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,composizione UI,"Next.js,React","Funzione operativa, identitaria o commerciale",Layout del relativo albero route
pagina_next,/app/onboarding,src/app/app/onboarding/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app,src/app/app/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/profilo,src/app/app/profilo/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/redazione/contenuti/[id],src/app/app/redazione/contenuti/[id]/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/contenuti/nuovo,src/app/app/redazione/contenuti/nuovo/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/contenuti,src/app/app/redazione/contenuti/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/eventi/[id],src/app/app/redazione/eventi/[id]/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,DUPLICARE_SCHEMA_O_ESTRARRE_MOTORE,,DEFINITIVA,UI e navigazione,"Next.js,React",Eventi B2B e osservatorio separati per tassonomia e dati,Route App Router
pagina_next,/app/redazione/eventi,src/app/app/redazione/eventi/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,DUPLICARE_SCHEMA_O_ESTRARRE_MOTORE,,DEFINITIVA,UI e navigazione,"Next.js,React",Eventi B2B e osservatorio separati per tassonomia e dati,Route App Router
layout_next,src/app/app/redazione/layout.tsx,src/app/app/redazione/layout.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,composizione UI,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Layout del relativo albero route
pagina_next,/app/redazione/mercati-internazionali/[id],src/app/app/redazione/mercati-internazionali/[id]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/mercati-internazionali,src/app/app/redazione/mercati-internazionali/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/opportunita/[id],src/app/app/redazione/opportunita/[id]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/opportunita,src/app/app/redazione/opportunita/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/organizzazioni/[id],src/app/app/redazione/organizzazioni/[id]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/organizzazioni/nuovo,src/app/app/redazione/organizzazioni/nuovo/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/organizzazioni,src/app/app/redazione/organizzazioni/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/redazione/osservatorio/fonti,src/app/app/redazione/osservatorio/fonti/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
pagina_next,/app/redazione/osservatorio/indicatori/[id],src/app/app/redazione/osservatorio/indicatori/[id]/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
pagina_next,/app/redazione/osservatorio/indicatori/nuovo,src/app/app/redazione/osservatorio/indicatori/nuovo/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
pagina_next,/app/redazione/osservatorio/indicatori,src/app/app/redazione/osservatorio/indicatori/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
pagina_next,/app/redazione/osservatorio,src/app/app/redazione/osservatorio/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
pagina_next,/app/redazione/osservatorio/valori,src/app/app/redazione/osservatorio/valori/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
pagina_next,/app/redazione,src/app/app/redazione/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/app/stato/chiuso,src/app/app/stato/chiuso/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/stato/disabilitato,src/app/app/stato/disabilitato/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/app/stato/sospeso,src/app/app/stato/sospeso/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
route_handler,/auth/callback,src/app/auth/callback/route.ts,HTTP handler,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,callback autenticazione/API,"Next.js,Supabase","Funzione operativa, identitaria o commerciale",Metodi anche nell'inventario simboli
pagina_next,/chi-siamo,src/app/chi-siamo/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/collaborazioni/[slug],src/app/collaborazioni/[slug]/page.tsx,default export,CONDIVISO,Entrambi con versioni indipendenti,ESTRARRE_O_DUPLICARE,PACKAGE_VERSIONATO,DEFINITIVA,UI e navigazione,"Next.js,React",Catalogo o utilità tecnica neutrale,Route App Router
pagina_next,/collaborazioni,src/app/collaborazioni/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/contatti,src/app/contatti/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/contenuti/[slug],src/app/contenuti/[slug]/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/contenuti,src/app/contenuti/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,UI e navigazione,"Next.js,React",Oggetto editoriale con possibili riferimenti commerciali,Route App Router
pagina_next,/cookie,src/app/cookie/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_E_RIVALUTARE,,DEFINITIVA,UI e navigazione,"Next.js,React",Responsabilità legale legata ai dati operativi attuali,Route App Router
pagina_next,/cultura,src/app/cultura/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità culturale/editoriale,Route App Router
pagina_next,/dati-e-fonti,src/app/dati-e-fonti/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/eventi/[id],src/app/eventi/[id]/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,DUPLICARE_SCHEMA_O_ESTRARRE_MOTORE,,DEFINITIVA,UI e navigazione,"Next.js,React",Eventi B2B e osservatorio separati per tassonomia e dati,Route App Router
pagina_next,/eventi,src/app/eventi/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,DUPLICARE_SCHEMA_O_ESTRARRE_MOTORE,,DEFINITIVA,UI e navigazione,"Next.js,React",Eventi B2B e osservatorio separati per tassonomia e dati,Route App Router
pagina_next,/imprese/[id],src/app/imprese/[id]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/imprese,src/app/imprese/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
layout_next,src/app/layout.tsx,src/app/layout.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,composizione UI,"Next.js,React","Funzione operativa, identitaria o commerciale",Layout del relativo albero route
pagina_next,/lingue-e-mercati,src/app/lingue-e-mercati/page.tsx,default export,CONDIVISO,Entrambi con versioni indipendenti,ESTRARRE_O_DUPLICARE,PACKAGE_VERSIONATO,DEFINITIVA,UI e navigazione,"Next.js,React",Catalogo o utilità tecnica neutrale,Route App Router
pagina_next,/mercati/[code],src/app/mercati/[code]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/mercati,src/app/mercati/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/notizie-e-guide,src/app/notizie-e-guide/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/opportunita/[id],src/app/opportunita/[id]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/opportunita,src/app/opportunita/page.tsx,default export,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,UI e navigazione,"Next.js,React","Funzione operativa, identitaria o commerciale",Route App Router
pagina_next,/organizzazioni/[slug],src/app/organizzazioni/[slug]/page.tsx,default export,PONTE_IMPRESE,PonteImprese,DUPLICARE_SCHEMA_E_STABILIRE_OWNER,,DEFINITIVA,UI e navigazione,"Next.js,React",Organizzazioni con finalità B2B o ricerca,Route App Router
pagina_next,/organizzazioni,src/app/organizzazioni/page.tsx,default export,CONDIVISO,Entrambi con record separati,DUPLICARE_SCHEMA_E_STABILIRE_OWNER,SCHEMA_TEMPLATE_DUPLICATO,DEFINITIVA,UI e navigazione,"Next.js,React",Organizzazioni con finalità B2B o ricerca,Route App Router
pagina_next,/osservatorio/[slug],src/app/osservatorio/[slug]/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
pagina_next,/osservatorio,src/app/osservatorio/page.tsx,default export,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,UI e navigazione,"Next.js,React",Finalità statistica o documentale,Route App Router
